Date,Adj Close,Close,High,Low,Open,Volume
,TSE,TSE,TSE,TSE,TSE,TSE
2023-04-10,21.39446258544922,21.709999084472656,21.950000762939453,20.59000015258789,20.799999237060547,628800
2023-04-11,21.561992645263672,21.8799991607666,22.25,21.795000076293945,21.860000610351562,247800
2023-04-12,20.74405860900879,21.049999237060547,22.670000076293945,20.760000228881836,22.469999313354492,388000
2023-04-13,20.91158676147461,21.219999313354492,21.295000076293945,20.389999389648438,21.010000228881836,292700
2023-04-14,20.477983474731445,20.780000686645508,21.450000762939453,20.5,21.290000915527344,258700
2023-04-17,20.45827293395996,20.760000228881836,21.06999969482422,20.520000457763672,20.780000686645508,165700
2023-04-18,20.00495719909668,20.299999237060547,20.969999313354492,20.09000015258789,20.90999984741211,211400
2023-04-19,19.857141494750977,20.149999618530273,20.229999542236328,19.940000534057617,20.059999465942383,209000
2023-04-20,18.980073928833008,19.260000228881836,20.079999923706055,19.1299991607666,19.940000534057617,284000
2023-04-21,18.52676010131836,18.799999237060547,19.309999465942383,18.604999542236328,19.25,321200
2023-04-24,18.75341796875,19.030000686645508,19.290000915527344,18.719999313354492,18.889999389648438,284900
2023-04-25,17.649696350097656,17.90999984741211,19.209999084472656,17.760000228881836,18.639999389648438,456400
2023-04-26,17.27522087097168,17.530000686645508,18.1200008392334,17.260000228881836,17.700000762939453,318900
2023-04-27,17.38361930847168,17.639999389648438,17.850000381469727,17.219999313354492,17.559999465942383,304400
2023-04-28,17.856645584106445,18.1200008392334,18.43000030517578,17.6299991607666,17.6299991607666,325600
2023-05-01,18.00446128845215,18.270000457763672,18.709999084472656,17.899999618530273,18.209999084472656,308800
2023-05-02,17.304779052734375,17.559999465942383,18.200000762939453,16.940000534057617,18.200000762939453,275700
2023-05-03,16.821901321411133,17.06999969482422,17.809999465942383,17.0,17.540000915527344,284300
2023-05-04,17.69896697998047,17.959999084472656,18.110000610351562,16.799999237060547,17.049999237060547,484200
2023-05-05,17.2259464263916,17.479999542236328,17.84000015258789,14.720000267028809,15.970000267028809,990900
2023-05-08,16.141929626464844,16.3799991607666,18.68000030517578,16.149999618530273,17.549999237060547,704700
2023-05-09,14.476495742797852,14.6899995803833,16.1200008392334,14.649999618530273,16.1200008392334,1065100
2023-05-10,14.417366027832031,14.630000114440918,15.210000038146973,13.899999618530273,14.930000305175781,764100
2023-05-11,13.560012817382812,13.760000228881836,14.529999732971191,13.63700008392334,14.5,710500
2023-05-12,12.850476264953613,13.039999961853027,13.850000381469727,12.770000457763672,13.850000381469727,976600
2023-05-15,14.20056438446045,14.40999984741211,14.640000343322754,12.930000305175781,13.069999694824219,1111500
2023-05-16,13.530447959899902,13.729999542236328,14.600000381469727,13.729999542236328,14.220000267028809,588800
2023-05-17,14.299111366271973,14.510000228881836,14.850000381469727,13.829999923706055,13.829999923706055,431900
2023-05-18,14.732714653015137,14.949999809265137,15.149999618530273,14.239999771118164,14.399999618530273,420800
2023-05-19,14.171001434326172,14.380000114440918,15.319999694824219,14.180000305175781,15.140000343322754,415500
2023-05-22,14.575040817260742,14.789999961853027,15.140000343322754,14.239999771118164,14.399999618530273,291300
2023-05-23,15.067773818969727,15.289999961853027,15.619999885559082,14.8100004196167,14.8100004196167,376200
2023-05-24,14.525768280029297,14.739999771118164,15.359999656677246,14.529999732971191,15.3100004196167,238500
2023-05-25,13.816232681274414,14.020000457763672,14.65999984741211,13.800000190734863,14.420000076293945,370700
2023-05-26,13.412190437316895,13.609999656677246,14.229999542236328,13.449999809265137,14.109999656677246,334300
2023-05-30,12.308467864990234,12.489999771118164,13.774999618530273,12.430000305175781,13.649999618530273,678100
2023-05-31,12.239487648010254,12.420000076293945,12.5,11.793999671936035,12.359999656677246,622900
2023-06-01,12.613964080810547,12.800000190734863,12.895000457763672,12.140000343322754,12.460000038146973,356000
2023-06-02,13.9640531539917,14.170000076293945,14.449999809265137,12.949999809265137,13.1899995803833,395400
2023-06-05,13.95419692993164,14.15999984741211,14.619999885559082,13.729999542236328,14.039999961853027,468500
2023-06-06,14.93966293334961,15.15999984741211,15.489999771118164,13.729999542236328,13.789999961853027,492500
2023-06-07,15.62948989868164,15.859999656677246,16.100000381469727,15.300000190734863,15.300000190734863,371600
2023-06-08,14.949520111083984,15.170000076293945,15.9399995803833,14.930000305175781,15.859999656677246,311300
2023-06-09,14.55533218383789,14.770000457763672,15.149999618530273,14.574999809265137,15.09000015258789,224200
2023-06-12,14.515912055969238,14.729999542236328,15.079999923706055,14.430000305175781,14.819999694824219,232300
2023-06-13,14.299111366271973,14.510000228881836,15.539999961853027,14.5,14.720000267028809,365300
